number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
0,0.563811540041786,2026-04-16 13:49:10.327620,2026-04-16 13:49:16.996531,0 days 00:00:06.668911,0.8202230023486418,3.4680559213273097,depthwise,0.030710573677773714,8,3.3946339367881464,1925,0.003486678167045121,0.001592075878523403,0.8732352291549871,hist,COMPLETE
1,0.5774191230114326,2026-04-16 13:49:16.996715,2026-04-16 13:49:17.503952,0 days 00:00:00.507237,0.8049512863264475,3.6370173320348282,depthwise,0.08341106432362087,10,4.329770563201687,75,0.004287730278993503,0.004342298948286134,0.7608484485919075,hist,COMPLETE
2,0.5761582531469616,2026-04-16 13:49:17.504119,2026-04-16 13:49:20.233574,0 days 00:00:02.729455,0.739934756431672,3.8764339456056547,depthwise,0.03647316284911211,7,1.5579754426081673,625,0.018788173075973934,0.038531031522629815,0.8570351922786027,hist,COMPLETE
3,0.5779282140564991,2026-04-16 13:49:20.233754,2026-04-16 13:49:24.381490,0 days 00:00:04.147736,0.8616794696232922,3.5115723710618747,depthwise,0.04666963767236924,1,3.4301794076057535,1200,0.0016834192018216926,1.9924621034349888,0.8931264066149118,hist,COMPLETE
4,0.5932104584666531,2026-04-16 13:49:24.381667,2026-04-16 13:49:25.845742,0 days 00:00:01.464075,0.7517559963200033,3.3661147045343363,depthwise,0.0249064396938244,7,2.760609974958405,225,0.05269751777340593,0.0013169614353741135,0.8818640804157565,hist,COMPLETE
5,0.5581074643166477,2026-04-16 13:49:25.845923,2026-04-16 13:49:28.323064,0 days 00:00:02.477141,0.8789654700855298,3.554563366576581,depthwise,0.07277150634170934,6,3.1868411173731186,650,2.351599274057191,0.4957135786745317,0.8878997883128379,hist,COMPLETE
6,0.6050822772554482,2026-04-16 13:49:28.323239,2026-04-16 13:49:34.721308,0 days 00:00:06.398069,0.8657475018303858,3.1356818667316144,depthwise,0.059963338824126605,1,1.7839314496765808,1850,0.013527358752820948,0.022463533171675796,0.7542698063547791,hist,COMPLETE
7,0.5275135444474781,2026-04-16 13:49:34.721502,2026-04-16 13:49:37.263595,0 days 00:00:02.542093,0.7397431363068344,5.406590942262119,depthwise,0.02911701023242742,6,1.5636968998990506,600,0.0018164423870304742,2.701005964742302,0.8544489538593315,hist,COMPLETE
8,0.5296334075989579,2026-04-16 13:49:37.263762,2026-04-16 13:49:43.431474,0 days 00:00:06.167712,0.8726206851751187,5.313811040057837,depthwise,0.010166803740022877,8,3.9160286721639492,1650,0.001809098578331446,0.017637166053890756,0.7231738119050259,hist,COMPLETE
9,0.6000967813850686,2026-04-16 13:49:43.431648,2026-04-16 13:49:46.103796,0 days 00:00:02.672148,0.7944429850323899,3.975549966080241,depthwise,0.06470376604234768,1,2.243929286862649,700,0.34429375895065534,0.16476487558474692,0.8774425485152653,hist,COMPLETE
10,0.5582900779698006,2026-04-16 13:49:46.103962,2026-04-16 13:49:51.264756,0 days 00:00:05.160794,0.705083825348819,5.312901539863683,depthwise,0.014308552498147852,8,3.245108790277985,1450,0.052117930643778204,0.06570606085616121,0.7855082036717099,hist,COMPLETE
11,0.5566636050543061,2026-04-16 13:49:51.264927,2026-04-16 13:49:52.222758,0 days 00:00:00.957831,0.8511102277086098,4.525712073494108,depthwise,0.013815607382950859,7,2.2574239243053067,100,1.4312604696692754,0.007359008568679792,0.7820765846071259,hist,COMPLETE
12,0.5644831144899338,2026-04-16 13:49:52.222922,2026-04-16 13:49:53.517775,0 days 00:00:01.294853,0.8607344153798229,5.789092957027719,depthwise,0.01984601321734508,3,1.6448851490160177,200,0.6455539579314901,0.1593755382804405,0.8742921180375436,hist,COMPLETE
13,0.5646353155082046,2026-04-16 13:49:53.517925,2026-04-16 13:49:59.388264,0 days 00:00:05.870339,0.7854215577252512,5.688273899770479,depthwise,0.01748772208717285,6,4.229760620656251,1800,0.012756650052972775,0.0024135921568582417,0.7455870325083883,hist,COMPLETE
14,0.6017279228028214,2026-04-16 13:49:59.388426,2026-04-16 13:50:05.016326,0 days 00:00:05.627900,0.8885819407825039,4.252233009446337,depthwise,0.11594759566372474,1,3.042989210310263,1725,0.005919646713104134,0.002610877024242296,0.7675230342807255,hist,COMPLETE
15,0.5322053207744598,2026-04-16 13:50:05.016483,2026-04-16 13:50:08.738897,0 days 00:00:03.722414,0.760175661963354,5.915346248162882,depthwise,0.026332779906149555,8,2.454518409517176,1050,2.220986638288318,0.0075071928484025914,0.7994497011784771,hist,COMPLETE
16,0.5523034169693839,2026-04-16 13:50:08.739055,2026-04-16 13:50:09.631407,0 days 00:00:00.892352,0.7289789744182446,3.154436253749968,depthwise,0.023473941999051617,7,3.010716092915446,100,0.009308668046700127,1.439297652414246,0.7479123781333945,hist,COMPLETE
17,0.5772019719816319,2026-04-16 13:50:09.631573,2026-04-16 13:50:16.094833,0 days 00:00:06.463260,0.8264611661187159,5.284858845986153,depthwise,0.04333040243296187,3,3.688542189623514,1975,0.0067033910490160555,0.34048387095460036,0.7735566265438506,hist,COMPLETE
