number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
13,0.7284804588360453,2026-04-16 13:55:14.276674,2026-04-16 13:55:14.795306,0 days 00:00:00.518632,0.7854215577252512,5.688273899770479,depthwise,0.01748772208717285,6,4.229760620656251,1800,0.012756650052972775,0.0024135921568582417,0.7455870325083883,hist,COMPLETE
14,0.7562415099110329,2026-04-16 13:55:14.795461,2026-04-16 13:55:15.291405,0 days 00:00:00.495944,0.8885819407825039,4.252233009446337,depthwise,0.11594759566372474,1,3.042989210310263,1725,0.005919646713104134,0.002610877024242296,0.7675230342807255,hist,COMPLETE
15,0.6195156054957243,2026-04-16 13:55:15.291547,2026-04-16 13:55:15.609600,0 days 00:00:00.318053,0.760175661963354,5.915346248162882,depthwise,0.026332779906149555,8,2.454518409517176,1050,2.220986638288318,0.0075071928484025914,0.7994497011784771,hist,COMPLETE
16,0.6991410005370315,2026-04-16 13:55:15.609730,2026-04-16 13:55:15.679521,0 days 00:00:00.069791,0.7289789744182446,3.154436253749968,depthwise,0.023473941999051617,7,3.010716092915446,100,0.009308668046700127,1.439297652414246,0.7479123781333945,hist,COMPLETE
17,0.7245133975461837,2026-04-16 13:55:15.679632,2026-04-16 13:55:16.250457,0 days 00:00:00.570825,0.8264611661187159,5.284858845986153,depthwise,0.04333040243296187,3,3.688542189623514,1975,0.0067033910490160555,0.34048387095460036,0.7735566265438506,hist,COMPLETE
18,0.737881856246716,2026-04-16 13:55:16.250607,2026-04-16 13:55:16.567522,0 days 00:00:00.316915,0.8355128723684565,3.9623401949152077,depthwise,0.06671771392675703,1,4.341209982356952,1100,0.004451921284966376,0.0013860538750648385,0.8181785886376484,hist,COMPLETE
19,0.7017767221542177,2026-04-16 13:55:16.567660,2026-04-16 13:55:16.924670,0 days 00:00:00.357010,0.7275041888291987,3.523099287014974,depthwise,0.010509480845860123,3,3.5806911616377994,1050,0.2526238181940681,0.022116973245037603,0.8873459977473469,hist,COMPLETE
20,0.6896311856307468,2026-04-16 13:55:16.924805,2026-04-16 13:55:17.032172,0 days 00:00:00.107367,0.8059301156712013,3.773824883145467,depthwise,0.02778033977738005,10,4.509357413523924,250,0.19717168789214218,0.694353585014268,0.8110401623198924,hist,COMPLETE
21,0.6962118339530063,2026-04-16 13:55:17.032288,2026-04-16 13:55:17.133415,0 days 00:00:00.101127,0.8794220519905154,4.899304371819804,depthwise,0.02063749993873244,9,4.601672228653322,225,0.01509550660214643,0.01637736522794278,0.8451911357740479,hist,COMPLETE
22,0.7329188730608741,2026-04-16 13:55:17.133522,2026-04-16 13:55:17.601760,0 days 00:00:00.468238,0.7202943085732064,3.484886142283841,depthwise,0.14260214124298468,7,1.3365598599801953,1575,1.3316247774430428,0.12841843495156466,0.7018394103233259,hist,COMPLETE
23,0.7046617119657129,2026-04-16 13:55:17.601905,2026-04-16 13:55:17.641762,0 days 00:00:00.039857,0.74744981749936,5.07568559307808,depthwise,0.0729853514738843,2,3.1949351574663445,50,0.18490487126445668,0.006022982241950051,0.8424358442695072,hist,COMPLETE
24,0.7247786812944945,2026-04-16 13:55:17.641869,2026-04-16 13:55:18.073763,0 days 00:00:00.431894,0.7530404735363451,4.972838676901031,depthwise,0.026506645379019665,7,4.396893641976712,1500,0.09464069565308143,0.002116988633631583,0.7735431606118867,hist,COMPLETE
