mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_train_average_precision,split1_train_average_precision,split2_train_average_precision,split3_train_average_precision,split4_train_average_precision,mean_train_average_precision,std_train_average_precision
0.006808280944824219,0.00020374800371079484,0.0025988101959228517,9.013577011254718e-05,0.8,4,0.01,1,4,75,1,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",0.5088644819751551,0.6268094913306621,0.7234357322531986,0.5424343732464311,0.7348732210660315,0.6272834599742957,0.09169892329941703,120,0.7890891114465982,0.7629471456026623,0.8447134398914085,0.8180623552502495,0.8337085931185696,0.8097041290618977,0.029943014336927816
0.007347965240478515,0.0010936743505414136,0.0030714035034179687,0.0004377838184000649,0.8,4,0.01,1,4,75,1,2,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 1, 'reg_lambda': 2, 'subsample': 0.8}",0.5072400505261622,0.6263228782836626,0.6981085681276376,0.5393479534933447,0.7096835980712792,0.6161406097004172,0.08164454582074929,212,0.7850150675891718,0.76193083417195,0.8390764212685113,0.8200099676950147,0.8238633551400448,0.8059791291729385,0.02825556540831147
0.00910639762878418,0.002712461075853204,0.002988100051879883,0.0009043297854018448,0.8,4,0.01,1,4,75,1,3,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 1, 'reg_lambda': 3, 'subsample': 0.8}",0.5023690057476222,0.6184940558715069,0.694666147517994,0.5368550760004672,0.7026277871624217,0.6110024144600024,0.08093206920893423,241,0.7794763106880471,0.7669502320981177,0.8337494202187721,0.8189171155877916,0.8201298705596879,0.8038445898304832,0.025852260800686252
0.007222032546997071,0.001257279570533872,0.004025602340698242,0.002006549632279244,0.8,4,0.01,1,4,75,2,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 2, 'reg_lambda': 1, 'subsample': 0.8}",0.4988229903595015,0.6088776281440245,0.7081135037487613,0.5364819922940501,0.7409572303529761,0.6186506689798628,0.09398762692910544,187,0.7801642757035601,0.7660784554947253,0.8132247521996249,0.8195946101723618,0.8155186417668093,0.7989161470674163,0.021623711591330586
0.008675718307495117,0.0019208423413599723,0.003340005874633789,0.0016403448926318631,0.8,4,0.01,1,4,75,2,2,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 2, 'reg_lambda': 2, 'subsample': 0.8}",0.4988229903595015,0.6150296279234753,0.6924734833068167,0.5352794910915489,0.7425707040252734,0.6168352593413232,0.09177368058914352,201,0.778783185945769,0.760092716862377,0.7943824091215037,0.8200289889953548,0.8064206182929109,0.791941583843583,0.02093798537589368
0.01087965965270996,0.0022604497426298837,0.004348230361938476,0.0017769521017230608,0.8,4,0.01,1,4,75,2,3,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 2, 'reg_lambda': 3, 'subsample': 0.8}",0.4971985589105087,0.6150296279234753,0.6603137009214544,0.5399897329352094,0.7246414110959803,0.6074346063573256,0.08159916075448281,256,0.7785732789156652,0.7607261754804568,0.7867872206928792,0.8199268791748086,0.8051659515910105,0.7902359011709641,0.020606769012189184
0.0064468860626220705,0.0002564627064237063,0.0038819313049316406,0.0018576438815660194,0.8,4,0.01,1,4,75,3,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 3, 'reg_lambda': 1, 'subsample': 0.8}",0.4944285019976219,0.5912212007310047,0.6201687905555848,0.526305436823377,0.7246514473560166,0.5913550754927209,0.08027999376009788,305,0.7751782771147238,0.7420003233220172,0.7833979928546556,0.815642665171518,0.7856262667876455,0.7803691050501119,0.023580263189619116
0.00884852409362793,0.0013607012029111596,0.002540731430053711,0.00011407631172114896,0.8,4,0.01,1,4,75,3,2,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 3, 'reg_lambda': 2, 'subsample': 0.8}",0.49259026670350425,0.5912212007310047,0.691464175661989,0.5524405979585382,0.7324758967139271,0.6120384275537927,0.08839316126920427,229,0.7758167040826629,0.7442328082557257,0.7544958357558987,0.8153890185881926,0.7688845047898301,0.771763774294462,0.02442954835781338
0.007125234603881836,0.001727834734764137,0.003101158142089844,0.0010392738378350115,0.8,4,0.01,1,4,75,3,3,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 3, 'reg_lambda': 3, 'subsample': 0.8}",0.49259026670350425,0.5949249044347085,0.7431321507710397,0.5470216857542802,0.7251175198755844,0.6205573055078235,0.09838445151302148,158,0.7724776692296248,0.7398247155043409,0.7566155883078924,0.8133448335418436,0.7426921550987667,0.7649909923364936,0.02681369543574267
0.010282087326049804,0.0017781527336368664,0.0028297901153564453,0.000494359460598096,0.8,4,0.01,1,4,100,1,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",0.5565761314463505,0.6384165625099634,0.7305214705889369,0.5307059781847027,0.7469830410705883,0.6406406367601083,0.08780055576168874,53,0.8080937384455851,0.7705880655193565,0.8410586550471842,0.8362354724349856,0.8294727937640981,0.817089745042242,0.025836957069308206
