mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_train_average_precision,split1_train_average_precision,split2_train_average_precision,split3_train_average_precision,split4_train_average_precision,mean_train_average_precision,std_train_average_precision
0.08672823905944824,0.006854289928895452,0.014274835586547852,0.0006166389656984647,0.8,4,0.01,1,4,75,1,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",0.6226163250362549,0.5735016157272985,0.5847984957767772,0.49163756624597277,0.5663815677161081,0.5677871141004822,0.04272941423961665,10,0.8149676382143068,0.8318082797518812,0.9234868136721787,0.8566718547421852,0.8825448333848844,0.8618958839530872,0.03835266976934755
0.08961806297302247,0.006203473765536328,0.01312117576599121,0.0008273599374658821,0.8,4,0.01,1,4,75,1,2,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 1, 'reg_lambda': 2, 'subsample': 0.8}",0.6206110289367559,0.5450619433165592,0.6012924128606199,0.4937466793675944,0.5246969203483594,0.5570817969659777,0.047318360303529906,20,0.8171503811591925,0.8222655602904735,0.9176733626344029,0.8515684532432981,0.8783421252834169,0.8573999765221568,0.03730929766894588
0.0931164264678955,0.005260852688277803,0.0149200439453125,0.00242800025829966,0.8,4,0.01,1,4,75,1,3,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 1, 'reg_lambda': 3, 'subsample': 0.8}",0.5884517854421486,0.5423849172860385,0.546206751464583,0.49837630899722407,0.5326096997650798,0.5416058925910148,0.028865345457568328,63,0.8120161604377343,0.8165522104089953,0.9212988671247595,0.8509376220926437,0.8691950283618086,0.8539999776851882,0.03983562298064236
0.08356599807739258,0.00624362034394757,0.018618202209472655,0.00551347913173424,0.8,4,0.01,1,4,75,2,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 2, 'reg_lambda': 1, 'subsample': 0.8}",0.6140809422841201,0.5419729299334282,0.5985184603502364,0.5000102959253285,0.5166109661186142,0.5542387189223457,0.04483036118329664,25,0.8086652743697456,0.8192881920930838,0.9060979894631179,0.8523826207167327,0.8545176190733953,0.8481903391432152,0.03408363393516904
0.08789877891540528,0.007020375682098066,0.017168426513671876,0.003794274053016807,0.8,4,0.01,1,4,75,2,2,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 2, 'reg_lambda': 2, 'subsample': 0.8}",0.60486592685629,0.5373815191575919,0.5934871907116871,0.502452298367331,0.4936966777070629,0.5463767225599925,0.0456636377860984,43,0.8045040154370898,0.8128273479237993,0.9043821671827195,0.8487358413509307,0.8402331156172997,0.8421364975023679,0.03520490747381618
0.08886561393737794,0.005228837433662989,0.015381050109863282,0.0038172599004983837,0.8,4,0.01,1,4,75,2,3,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 2, 'reg_lambda': 3, 'subsample': 0.8}",0.5894518059883171,0.52598786404688,0.5586320116539627,0.4950852461952917,0.49394282648582033,0.5326199508740543,0.03702768057465722,110,0.8057743936209155,0.8056751305384127,0.9017345971647031,0.8434549852427318,0.8382803137103298,0.8389838840554187,0.03512970557393675
0.08875832557678223,0.010690093856127675,0.01653118133544922,0.002623975548791738,0.8,4,0.01,1,4,75,3,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 3, 'reg_lambda': 1, 'subsample': 0.8}",0.5878636252205698,0.5318625330538106,0.5525379065015333,0.49422635563051875,0.5068385806822955,0.5346658002177456,0.033367594760306096,100,0.7979846734338625,0.7915214923349972,0.8704689684192493,0.8419841722200554,0.803906112774016,0.8211730838364361,0.03025971970045224
0.08536128997802735,0.004600506391752939,0.012832975387573243,0.00017166022459279146,0.8,4,0.01,1,4,75,3,2,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 3, 'reg_lambda': 2, 'subsample': 0.8}",0.5308057549189925,0.549298800490078,0.534452035071034,0.5105038281579912,0.5172413689374221,0.5284603575151036,0.013593707704645214,147,0.760239916878727,0.7813744619881898,0.8495354386230729,0.8382598835754329,0.7669981948710234,0.7992815791872893,0.03723410196654698
0.0965719223022461,0.0033724470751691003,0.01362762451171875,0.0019160545539014383,0.8,4,0.01,1,4,75,3,3,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 3, 'reg_lambda': 3, 'subsample': 0.8}",0.5294973813280102,0.5437432449345223,0.534915865176501,0.5075408651950283,0.5893167722692813,0.5410028257806686,0.026947639860025508,64,0.757779508800202,0.7816295141465278,0.8480996431584513,0.8356590496742348,0.7543050641364635,0.7954945559831759,0.0392217290743633
0.10581302642822266,0.008892879251133965,0.01375126838684082,0.0018469444637050291,0.8,4,0.01,1,4,100,1,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 4, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",0.6443703560294163,0.5643576732500226,0.5721571855861729,0.48765569571998457,0.5626415119709043,0.5662364845113002,0.049661555968403825,11,0.8296447846363291,0.8400096171978866,0.9263219625458519,0.8770311569197627,0.8739180533198083,0.8693851149239278,0.033950045136480186
