,parameter,value
0,alpha,3.0
1,colsample_bytree,0.8
2,gamma,5.0
3,lambda,2.0
4,learning_rate,0.01
5,max_depth,2.0
6,min_child_weight,4.0
7,n_estimators,75.0
8,subsample,0.8
